CRASH_DATE,COUNT
2016-12-20,256
2016-12-21,153
2016-12-22,202
2016-12-23,208
2016-12-24,117
2016-12-25,89
2016-12-26,100
2016-12-27,114
2016-12-28,115
2016-12-29,102
2016-12-30,119
2016-12-31,113
2017-01-01,138
2017-01-02,113
2017-01-03,139
2017-01-04,103
2017-01-05,126
2017-01-06,137
2017-01-07,123
2017-01-08,127
2017-01-09,150
2017-01-10,176
2017-01-11,154
2017-01-12,181
2017-01-13,247
2017-01-14,141
2017-01-15,115
2017-01-16,128
2017-01-17,151
2017-01-18,141
2017-01-19,182
2017-01-20,156
2017-01-21,169
2017-01-22,105
2017-01-23,133
2017-01-24,124
2017-01-25,159
2017-01-26,143
2017-01-27,136
2017-01-28,118
2017-01-29,93
2017-01-30,123
2017-01-31,132
2017-02-01,141
2017-02-02,156
2017-02-03,172
2017-02-04,127
2017-02-05,108
2017-02-06,135
2017-02-07,176
2017-02-08,117
2017-02-09,144
2017-02-10,198
2017-02-11,147
2017-02-12,124
2017-02-13,148
2017-02-14,177
2017-02-15,134
2017-02-16,128
2017-02-17,170
2017-02-18,144
2017-02-19,137
2017-02-20,103
2017-02-21,171
2017-02-22,138
2017-02-23,175
2017-02-24,174
2017-02-25,139
2017-02-26,111
2017-02-27,138
2017-02-28,177
2017-03-01,201
2017-03-02,132
2017-03-03,182
2017-03-04,151
2017-03-05,100
2017-03-06,152
2017-03-07,172
2017-03-08,185
2017-03-09,137
2017-03-10,217
2017-03-11,188
2017-03-12,102
2017-03-13,186
2017-03-14,257
2017-03-15,197
2017-03-16,157
2017-03-17,198
2017-03-18,150
2017-03-19,116
2017-03-20,153
2017-03-21,157
2017-03-22,154
2017-03-23,163
2017-03-24,206
2017-03-25,190
2017-03-26,115
2017-03-27,139
2017-03-28,129
2017-03-29,154
2017-03-30,177
2017-03-31,188
2017-04-01,183
2017-04-02,121
2017-04-03,187
2017-04-04,161
2017-04-05,192
2017-04-06,192
2017-04-07,179
2017-04-08,160
2017-04-09,133
2017-04-10,178
2017-04-11,118
2017-04-12,138
2017-04-13,139
2017-04-14,182
2017-04-15,196
2017-04-16,130
2017-04-17,178
2017-04-18,182
2017-04-19,130
2017-04-20,157
2017-04-21,199
2017-04-22,163
2017-04-23,139
2017-04-24,168
2017-04-25,185
2017-04-26,184
2017-04-27,175
2017-04-28,189
2017-04-29,236
2017-04-30,150
2017-05-01,206
2017-05-02,182
2017-05-03,189
2017-05-04,190
2017-05-05,206
2017-05-06,183
2017-05-07,149
2017-05-08,171
2017-05-09,173
2017-05-10,202
2017-05-11,208
2017-05-12,214
2017-05-13,188
2017-05-14,161
2017-05-15,186
2017-05-16,201
2017-05-17,207
2017-05-18,240
2017-05-19,259
2017-05-20,166
2017-05-21,135
2017-05-22,199
2017-05-23,202
2017-05-24,182
2017-05-25,172
2017-05-26,212
2017-05-27,194
2017-05-28,141
2017-05-29,150
2017-05-30,191
2017-05-31,188
2017-06-01,255
2017-06-02,236
2017-06-03,198
2017-06-04,161
2017-06-05,224
2017-06-06,214
2017-06-07,213
2017-06-08,215
2017-06-09,240
2017-06-10,276
2017-06-11,180
2017-06-12,231
2017-06-13,195
2017-06-14,240
2017-06-15,207
2017-06-16,223
2017-06-17,206
2017-06-18,178
2017-06-19,207
2017-06-20,174
2017-06-21,177
2017-06-22,188
2017-06-23,231
2017-06-24,177
2017-06-25,160
2017-06-26,195
2017-06-27,191
2017-06-28,184
2017-06-29,217
2017-06-30,219
2017-07-01,223
2017-07-02,163
2017-07-03,186
2017-07-04,188
2017-07-05,201
2017-07-06,220
2017-07-07,243
2017-07-08,203
2017-07-09,158
2017-07-10,201
2017-07-11,200
2017-07-12,212
2017-07-13,205
2017-07-14,212
2017-07-15,203
2017-07-16,159
2017-07-17,241
2017-07-18,217
2017-07-19,219
2017-07-20,244
2017-07-21,282
2017-07-22,240
2017-07-23,211
2017-07-24,215
2017-07-25,233
2017-07-26,225
2017-07-27,255
2017-07-28,253
2017-07-29,273
2017-07-30,201
2017-07-31,272
2017-08-01,281
2017-08-02,261
2017-08-03,253
2017-08-04,235
2017-08-05,253
2017-08-06,219
2017-08-07,224
2017-08-08,237
2017-08-09,238
2017-08-10,229
2017-08-11,253
2017-08-12,276
2017-08-13,209
2017-08-14,221
2017-08-15,258
2017-08-16,273
2017-08-17,275
2017-08-18,277
2017-08-19,249
2017-08-20,207
2017-08-21,240
2017-08-22,258
2017-08-23,255
2017-08-24,226
2017-08-25,299
2017-08-26,233
2017-08-27,211
2017-08-28,267
2017-08-29,247
2017-08-30,259
2017-08-31,262
2017-09-01,316
2017-09-02,310
2017-09-03,253
2017-09-04,198
2017-09-05,304
2017-09-06,309
2017-09-07,314
2017-09-08,278
2017-09-09,316
2017-09-10,253
2017-09-11,277
2017-09-12,305
2017-09-13,323
2017-09-14,299
2017-09-15,377
2017-09-16,321
2017-09-17,254
2017-09-18,302
2017-09-19,333
2017-09-20,290
2017-09-21,338
2017-09-22,340
2017-09-23,331
2017-09-24,251
2017-09-25,297
2017-09-26,316
2017-09-27,268
2017-09-28,288
2017-09-29,359
2017-09-30,318
2017-10-01,249
2017-10-02,293
2017-10-03,348
2017-10-04,286
2017-10-05,303
2017-10-06,423
2017-10-07,351
2017-10-08,261
2017-10-09,271
2017-10-10,385
2017-10-11,402
2017-10-12,281
2017-10-13,357
2017-10-14,391
2017-10-15,228
2017-10-16,297
2017-10-17,317
2017-10-18,324
2017-10-19,331
2017-10-20,384
2017-10-21,303
2017-10-22,296
2017-10-23,383
2017-10-24,449
2017-10-25,311
2017-10-26,311
2017-10-27,331
2017-10-28,301
2017-10-29,278
2017-10-30,272
2017-10-31,305
2017-11-01,407
2017-11-02,407
2017-11-03,328
2017-11-04,381
2017-11-05,276
2017-11-06,301
2017-11-07,326
2017-11-08,315
2017-11-09,302
2017-11-10,561
2017-11-11,308
2017-11-12,310
2017-11-13,341
2017-11-14,293
2017-11-15,351
2017-11-16,297
2017-11-17,427
2017-11-18,355
2017-11-19,268
2017-11-20,286
2017-11-21,326
2017-11-22,296
2017-11-23,191
2017-11-24,237
2017-11-25,253
2017-11-26,226
2017-11-27,271
2017-11-28,275
2017-11-29,307
2017-11-30,293
2017-12-01,365
2017-12-02,339
2017-12-03,291
2017-12-04,320
2017-12-05,357
2017-12-06,331
2017-12-07,321
2017-12-08,400
2017-12-09,405
2017-12-10,250
2017-12-11,274
2017-12-12,317
2017-12-13,311
2017-12-14,356
2017-12-15,374
2017-12-16,355
2017-12-17,276
2017-12-18,359
2017-12-19,324
2017-12-20,288
2017-12-21,309
2017-12-22,364
2017-12-23,323
2017-12-24,345
2017-12-25,171
2017-12-26,287
2017-12-27,359
2017-12-28,319
2017-12-29,324
2017-12-30,363
2017-12-31,331
2018-01-01,337
2018-01-02,452
2018-01-03,383
2018-01-04,360
2018-01-05,373
2018-01-06,330
2018-01-07,210
2018-01-08,279
2018-01-09,276
2018-01-10,311
2018-01-11,342
2018-01-12,353
2018-01-13,288
2018-01-14,226
2018-01-15,263
